Probe,PROT,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6,DMD_7,DMD_8,DMD_9,DMD_10,DMD_11,DMD_12,NOR_1,NOR_2,NOR_3,NOR_4,NOR_5,NOR_6,NOR_7,NOR_8,NOR_9,NOR_10,NOR_11,NOR_12
1000_at,P27361,4203.5,2255,1786.8,3509.8,2582.1,1692.5,2656.2,2582.3,4003.7,2567.8,2256.2,2412.1,2886.6,2519.2,1909.6,2401.2,3007.6,3173,2488.3,3569.4,2357.1,2406.4,2594.3,94
1001_at,P35590,2133.1,1082.3,538.4,574.7,549.6,1419.9,1812,701.6,1638.5,1551.8,834.2,903,969.1,957.5,1221.1,1403.2,995.5,1040.6,1058.8,2276.3,1722.2,735.9,492.1,12.5
1002_f_at,P33261,89.6,128.6,53,35.4,52.7,60.1,105,82.4,90.3,250.4,59.2,80.2,35.4,230.2,33,35.6,180.7,101.6,327.1,113.2,54.2,215.1,156.8,2.4
1003_s_at,P32302,129.6,190.6,369,117.6,86.9,115.1,162.2,107.2,254.2,127.6,528.9,291.4,206.3,144.3,226.9,128.1,226.6,167.2,195.4,231.4,217.6,179.5,699.7,8.5
1004_at,P32302,468.2,462.9,681.2,330.5,361,436.7,223.6,401.4,462.5,810.6,498.2,802.6,992.7,208.3,660.6,610.4,425.5,529.1,566.7,129.1,696.3,541.9,605.4,32.1
1005_at,P28562,3819.5,3857.2,1188.6,730.3,934.2,2972,5615.9,1701.6,5621.8,2238.8,1859,1265,8288.3,6941.6,2033.3,5658.1,6127.1,3502.2,5699.6,6436.3,2070.7,2446.5,3615.7,272.3
1006_at,P09238,19.4,18.3,63.3,28,16.1,15.6,36.4,55,29.6,35.8,139.6,47.5,24.4,40.7,19,44.8,24.2,15.7,35.2,226.2,43.8,39.4,27.5,1
1007_s_at,Q08345,3595.1,4492.7,3845.2,5799,3893.4,4056.8,2995.7,4131.3,6302.3,4673.8,4093.7,4831.7,4245.3,2843.9,2013.4,2476.9,3899,3810.5,2935.8,3599.9,3549.6,4422.3,4229.9,72.4
1008_f_at,P19525,5309.8,7526.7,3035.6,14769.8,1845.1,2340.6,5862.2,2885.1,4775.7,2042.6,1898.6,3275.3,5444.6,3295.2,6971.2,1957.2,2472.2,3383.7,6222.3,7294.7,4247.8,4362.6,5755,197.3
1009_at,P49773,12331.2,15111.5,12115.1,14052.4,13624.5,16856.9,16048.7,21626,9276.5,9772.6,14707.7,13500.5,12958.7,13447.8,20963.9,14363.5,9826,18182.5,13757.2,16170.6,17459.1,15102,15816,431.4
100_g_at,Q92696,2474.1,1157.5,1974.4,1951.2,1644.3,1481.3,2691.9,1617.9,1498.2,1269.3,1786.8,1608.6,2383.9,1737.5,1471.5,1712.5,1834,2329.5,1665.5,2685.9,3057.4,2096.8,1722.6,52.7
1010_at,Q15759,79.3,97.2,65.8,49.9,26.6,58.5,171.5,67.7,85.3,67.4,81.9,71.8,483.9,148,56.4,80.5,149.4,129.1,69.8,134.3,67.4,91.6,348.1,3.9
1011_s_at,P62258,2570.5,1927.9,598.4,1893,1951,1117.8,2806.6,1974,2117.3,1049.5,1287.9,2630.3,1503,748.1,2179.3,959,1343.8,1477.8,831.9,2396.8,609.7,1160.9,2056.9,30.8
1012_at,Q92831,397.5,466.3,109.7,39.4,536.7,397.1,742.8,425.3,295.1,192,470.5,52.2,1230.6,283.6,200.8,741.1,382.1,443.7,478.3,541.8,577.1,515.4,601.2,15.3
1013_at,Q99717,257.2,178.1,53.9,214.4,200.1,260.1,267.2,125.9,220.7,138.5,225.5,69,457,380.2,194.7,615.9,366.7,260.9,177.5,70.6,156.1,227.7,510.8,12
1014_at,P54098,2616.8,3001.3,3043.5,2125.2,1839.4,2523.1,2362.6,2532.2,2549.6,2674.6,2848.8,2345.9,3017.3,1898.2,2436.5,3041.5,2843.5,2526,2450.9,2753,2859,3005.2,2054.2,98.2
1015_s_at,P53667,284,318.6,158.8,339.2,164.3,236.9,168.4,273.3,232,82.5,171.9,174.8,143.1,125.3,454.2,144.1,117.9,236.7,154.5,149.6,107.3,131.9,168.9,17
1016_s_at,Q14627,128.2,183.3,61.7,153.9,18.6,196.4,69.3,260.6,179.8,30.1,47.7,171.5,158.4,31.5,244.2,243.9,160.6,251.2,122,56.6,112.6,131.6,245.8,13.2
1017_at,P52701,271.7,276.3,582.1,766.1,664,432.6,222.5,476.8,532.7,997.3,510,392.7,392.5,408.5,484.5,417.5,350.7,252,314.9,154.4,367.6,673.2,1226.3,23.5
1018_at,O00744,224.1,267.9,717.4,220.1,176.5,280.4,328.3,211.2,317.7,363.9,317.3,496.4,455.9,508,564.2,466.5,290.2,207.1,247.7,251.3,347.5,207.3,289.8,12.1
1019_g_at,O00744,1001.9,1184.9,1025.7,1085.9,667.4,733.1,432.4,546.8,857.3,1075.2,872.7,832.9,1535.4,823.4,350.6,693.7,1375.5,952,596.3,893.9,218.6,1463.4,1047.8,58.6
101_at,Q9NR20,782.4,1238.9,840.1,694,695.5,883.5,492.2,851.3,821.5,428.8,797.6,367.9,792.4,499.9,980.1,629.4,953.9,1568.2,989.8,706.1,906.9,811.4,1364.6,29.7
