Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	17.50	Homo sapiens OX=9606	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|P0DPI2|GAL3A_HUMAN
2	a	sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	10.40	Homo sapiens OX=9606	2-hydroxyacyl-CoA lyase 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
3	a	sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	8.30	Homo sapiens OX=9606	Unconventional myosin-Ig 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	8C(57.0215)		
4	a	sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	4.90	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9987	4	0	4	4	0	4	     0	     0	     0	2C(57.0215)		sp|Q99613|EIF3C_HUMAN
5	a	sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	10.90	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	10C(57.0215)		
6	a	sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	28.80	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9990	7	3	7	9	3	9	     0	     0	     0	17C(57.0215), 25M(15.9949), 29C(57.0215), 2C(57.0215), 5C(57.0215), N-term(42.0106)		
7	a	sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	9.50	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
8	a	sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	13.30	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
9	a	sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	25.70	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	10C(57.0215), 2C(57.0215)		
10	a	sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	9.20	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
