"","V1","pvalue","V3"
"1","AF009426_at","0.000360414341276838","-"
"2","D14658_at","0.0217831184179682","+"
"3","D42043_at","0.00318270252740925","+"
"4","D49950_at","0.00458001296568287","+"
"5","D50918_at","0.00812390956009856","+"
"6","D63874_at","0.00451818449416221","+"
"7","D63880_at","0.00163633537151638","-"
"8","D84294_at","0.0210524584695946","-"
"9","D86967_at","0.00142966150555645","-"
"10","D88270_at","1.90060722541516e-05","-"
"11","HG1612-HT1612_at","3.48671423112385e-06","+"
"12","HG2855-HT2995_at","0.0124126025799754","+"
"13","J03473_at","7.80592653411825e-05","-"
"14","J03589_at","0.00766712759489673","+"
"15","J04615_at","0.0338227725903013","+"
"16","J05243_at","5.9930714652892e-07","-"
"17","L05148_at","0.0327795169957277","+"
"18","L07633_at","0.00099205604795462","-"
"19","L09717_at","0.0144820244123181","+"
"20","L13278_at","0.00107143113249112","-"
"21","L19437_at","0.0345646539102892","+"
"22","L20010_at","0.0288560912405423","-"
"23","L38951_at","0.0397538921860214","-"
"24","L41559_at","0.0096322435284112","+"
"25","L47738_at","0.000152803064462865","-"
"26","M11147_at","0.00585426623773105","+"
"27","M11722_at","1.70709646378879e-06","-"
"28","M13792_at","0.033447932137072","+"
"29","M16038_at","0.00686830708629879","+"
"30","M22960_at","0.00741292129098941","+"
"31","M23197_at","0.00464751081473137","+"
"32","M27891_at","0.0211205174003534","+"
"33","M29551_at","0.0105166014384289","+"
"34","M29696_at","0.00113716434228025","-"
"35","M31303_rna1_at","2.17963092321138e-05","+"
"36","M33680_at","2.00908563375828e-05","+"
"37","M38690_at","0.0275612579993674","-"
"38","M55150_at","0.000696398515462311","+"
"39","M60527_at","0.00645422944937371","+"
"40","M62762_at","0.000836824572353127","+"
"41","M63138_at","0.0187253740760934","+"
"42","M63488_at","0.00321383509216266","+"
"43","M83233_at","0.00342857445478941","-"
"44","M84526_at","0.0143352175301725","+"
"45","M89957_at","1.90568795680453e-06","-"
"46","M91432_at","0.0021023095177634","-"
"47","M92287_at","4.58584751240992e-08","-"
